iter	Logloss
0	0.6580097515
1	0.6192949255
2	0.5830328369
3	0.551593709
4	0.5193622582
5	0.4948514473
6	0.4659472506
7	0.4369727978
8	0.4170616264
9	0.3963513928
10	0.3796315421
11	0.3631920249
12	0.3441974311
13	0.3313852693
14	0.3189016276
15	0.3086143319
16	0.3003893613
17	0.291327821
18	0.2789484074
19	0.2703184883
20	0.2597318728
21	0.2528128088
22	0.2473758846
23	0.2424783252
24	0.237439517
25	0.2316736055
26	0.2266360725
27	0.2223813778
28	0.2173427802
29	0.2129486081
30	0.2094772158
31	0.2062615
32	0.2029223102
33	0.2002449914
34	0.1975303232
35	0.1951011449
36	0.1928524362
37	0.1896697279
38	0.1868250593
39	0.1842116955
40	0.1818506219
41	0.1801339138
42	0.1774445955
43	0.1754665372
44	0.1738609347
45	0.1718740729
46	0.1699095381
47	0.1685448261
48	0.1675610711
49	0.1660025813
50	0.1649812948
51	0.1637155516
52	0.1624313285
53	0.1610192174
54	0.1599041177
55	0.158801399
56	0.1578589281
57	0.156823495
58	0.1560155779
59	0.1550250341
60	0.1543041681
61	0.1534533377
62	0.1528681409
63	0.1522014335
64	0.1508115089
65	0.1502705103
66	0.1499285153
67	0.1490693424
68	0.148465699
69	0.1474673272
70	0.1468844482
71	0.1460914282
72	0.1455783446
73	0.144845858
74	0.1440349764
75	0.1435238377
76	0.1430267911
77	0.1424260362
78	0.1417882337
79	0.1410796969
80	0.1406188335
81	0.1400616682
82	0.1395217777
83	0.1388477806
84	0.1381892566
85	0.1377160298
86	0.1371384798
87	0.1367463198
88	0.1361509995
89	0.1357044262
90	0.1351700736
91	0.134465196
92	0.1339899689
93	0.1333318993
94	0.1329398581
95	0.1324066997
96	0.1321374614
97	0.1317366772
98	0.1313857991
99	0.1309769835
100	0.1306267339
101	0.1302681844
102	0.1297854452
103	0.1293215239
104	0.1288708671
105	0.1281987702
106	0.1277739754
107	0.1270621949
108	0.1266652628
109	0.1264172377
110	0.1259866697
111	0.12551888
112	0.1251680224
113	0.1247976082
114	0.1242340082
115	0.1236512384
116	0.1234041668
117	0.1231346236
118	0.1228430167
119	0.1225819903
120	0.1222926854
121	0.1219905703
122	0.1215943557
123	0.1212809574
124	0.1209443329
125	0.1205636339
126	0.1203278204
127	0.119930729
128	0.1195566843
129	0.1189525864
130	0.1186633304
131	0.1183886601
132	0.1180805107
133	0.1178391443
134	0.1173755533
135	0.1170852345
136	0.116677287
137	0.1162084646
138	0.1159256842
139	0.1157349174
140	0.1155813571
141	0.1150056158
142	0.1146010679
143	0.1143375974
144	0.1141682596
145	0.1140135458
146	0.1138070247
147	0.11364303
148	0.1133767435
149	0.1129916024
150	0.1127302572
151	0.1124204724
152	0.1122622438
153	0.1120933752
154	0.1118003622
155	0.1116409248
156	0.1114131711
157	0.1111694364
158	0.1108605321
159	0.1106273026
160	0.1104144672
161	0.1102560844
162	0.1099561737
163	0.1096705965
164	0.1095211326
165	0.1092286044
166	0.1090148181
167	0.1087378879
168	0.1085579449
169	0.1083381779
170	0.1080802527
